 Etot   =    -38326.9381  EKtot   =      9079.1281  EPtot      =    -47406.0662	 Etot   =       528.2539  EKtot   =       163.0912  EPtot      =       384.9850
 Etot   =    -37794.0030  EKtot   =      9192.5107  EPtot      =    -46986.5138	 Etot   =       125.3103  EKtot   =        71.6705  EPtot      =       102.2592
 Etot   =    -37775.1122  EKtot   =      9215.3830  EPtot      =    -46990.4952	 Etot   =       119.9832  EKtot   =        65.1230  EPtot      =       103.7329
 Etot   =    -37809.3342  EKtot   =      9242.1402  EPtot      =    -47051.4744	 Etot   =        98.5271  EKtot   =        81.5809  EPtot      =        83.9429
 Etot   =    -37948.8473  EKtot   =      9222.3897  EPtot      =    -47171.2370	 Etot   =        99.8041  EKtot   =        61.6620  EPtot      =        86.5394
 Etot   =    -38029.1684  EKtot   =      9211.0047  EPtot      =    -47240.1731	 Etot   =        96.5368  EKtot   =        69.7655  EPtot      =        82.7504
 Etot   =    -37984.2820  EKtot   =      9253.0508  EPtot      =    -47237.3328	 Etot   =       116.8014  EKtot   =        76.1700  EPtot      =        90.5685
 Etot   =    -38061.0392  EKtot   =      9243.5838  EPtot      =    -47304.6230	 Etot   =       173.6383  EKtot   =        72.1878  EPtot      =       160.2307
 Etot   =    -38322.3959  EKtot   =      9213.1661  EPtot      =    -47535.5620	 Etot   =       123.9444  EKtot   =        83.4586  EPtot      =        84.8911
 Etot   =    -38351.0965  EKtot   =      9177.2246  EPtot      =    -47528.3210	 Etot   =        61.8430  EKtot   =        63.3641  EPtot      =        70.1468
 Etot   =    -38351.3340  EKtot   =      9217.4336  EPtot      =    -47568.7676	 Etot   =        71.1036  EKtot   =        56.7641  EPtot      =        72.7402
 Etot   =    -38400.5084  EKtot   =      9219.1716  EPtot      =    -47619.6799	 Etot   =        95.5143  EKtot   =        63.1806  EPtot      =        90.8414
 Etot   =    -38483.0021  EKtot   =      9199.0816  EPtot      =    -47682.0837	 Etot   =       127.5908  EKtot   =        80.3030  EPtot      =        98.7887
 Etot   =    -38548.3633  EKtot   =      9218.0819  EPtot      =    -47766.4452	 Etot   =       101.0627  EKtot   =        65.3069  EPtot      =        94.7609
 Etot   =    -38591.6843  EKtot   =      9201.2007  EPtot      =    -47792.8849	 Etot   =       111.9825  EKtot   =        65.9450  EPtot      =       107.2093
 Etot   =    -38552.0431  EKtot   =      9234.0605  EPtot      =    -47786.1036	 Etot   =       133.7406  EKtot   =        69.3392  EPtot      =       108.3243
 Etot   =    -38655.9890  EKtot   =      9207.0188  EPtot      =    -47863.0078	 Etot   =        89.8884  EKtot   =        66.0429  EPtot      =        74.2150
 Etot   =    -38642.1945  EKtot   =      9204.3454  EPtot      =    -47846.5399	 Etot   =        87.1030  EKtot   =        69.5492  EPtot      =        68.7814
 Etot   =    -38605.6601  EKtot   =      9211.1262  EPtot      =    -47816.7863	 Etot   =       108.4510  EKtot   =        69.1198  EPtot      =        83.6682
 Etot   =    -38569.4786  EKtot   =      9248.0072  EPtot      =    -47817.4858	 Etot   =        94.9093  EKtot   =        72.1956  EPtot      =        80.5231
 Etot   =    -38722.7939  EKtot   =      9222.0930  EPtot      =    -47944.8868	 Etot   =       100.0502  EKtot   =        80.3311  EPtot      =        72.2950
 Etot   =    -38672.5313  EKtot   =      9238.1781  EPtot      =    -47910.7094	 Etot   =        89.0815  EKtot   =        65.1731  EPtot      =        81.6575
 Etot   =    -38770.9070  EKtot   =      9219.5679  EPtot      =    -47990.4749	 Etot   =        81.4102  EKtot   =        67.8247  EPtot      =        65.8133
 Etot   =    -38822.9513  EKtot   =      9211.0111  EPtot      =    -48033.9624	 Etot   =        61.2193  EKtot   =        63.9205  EPtot      =        64.7166
 Etot   =    -38730.3192  EKtot   =      9233.7661  EPtot      =    -47964.0853	 Etot   =       155.8953  EKtot   =        72.7040  EPtot      =       124.2333
 Etot   =    -39004.2427  EKtot   =      9194.9582  EPtot      =    -48199.2009	 Etot   =       115.1200  EKtot   =        70.1629  EPtot      =        94.7736
