#Ang Center	  GalNAc 1	  GalNAc 2	  GalNAc 3	  GalNAc 4	All GalNAc
   0.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   2.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   3.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   4.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   5.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   6.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   7.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   8.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   9.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  10.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  11.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  12.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  13.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  14.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  15.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  16.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  17.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  18.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  19.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  20.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  21.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  22.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  23.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  24.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  25.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  26.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  27.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  28.500000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  29.500000  0.000003	  0.000000	  0.000000	  0.000000	  0.000001
  30.500000  0.000013	  0.000003	  0.000013	  0.000006	  0.000009
  31.500000  0.000050	  0.000028	  0.000060	  0.000047	  0.000046
  32.500000  0.000082	  0.000120	  0.000179	  0.000123	  0.000126
  33.500000  0.000230	  0.000302	  0.000557	  0.000255	  0.000336
  34.500000  0.000412	  0.000601	  0.001149	  0.000699	  0.000715
  35.500000  0.000925	  0.001227	  0.002389	  0.001542	  0.001521
  36.500000  0.001495	  0.001976	  0.004312	  0.002700	  0.002621
  37.500000  0.002574	  0.003132	  0.007116	  0.004359	  0.004295
  38.500000  0.003906	  0.004800	  0.010439	  0.006323	  0.006367
  39.500000  0.005221	  0.006291	  0.014065	  0.008435	  0.008503
  40.500000  0.006682	  0.008142	  0.017247	  0.010786	  0.010714
  41.500000  0.008583	  0.009586	  0.020284	  0.013322	  0.012944
  42.500000  0.009719	  0.011336	  0.022456	  0.014943	  0.014613
  43.500000  0.010833	  0.012724	  0.024190	  0.016504	  0.016063
  44.500000  0.011925	  0.013842	  0.025669	  0.017332	  0.017192
  45.500000  0.013020	  0.015034	  0.026053	  0.018427	  0.018134
  46.500000  0.013640	  0.016104	  0.026830	  0.019022	  0.018899
  47.500000  0.014310	  0.016835	  0.026500	  0.019189	  0.019208
  48.500000  0.015025	  0.017647	  0.026645	  0.019277	  0.019648
  49.500000  0.015267	  0.018981	  0.026043	  0.019617	  0.019977
  50.500000  0.015538	  0.019456	  0.026154	  0.020164	  0.020328
  51.500000  0.016303	  0.020215	  0.025379	  0.019821	  0.020430
  52.500000  0.017212	  0.021439	  0.025609	  0.020388	  0.021162
  53.500000  0.016992	  0.021653	  0.024929	  0.020551	  0.021031
  54.500000  0.017898	  0.021618	  0.024788	  0.020725	  0.021257
  55.500000  0.018421	  0.022906	  0.024542	  0.021448	  0.021829
  56.500000  0.018770	  0.023353	  0.023847	  0.021278	  0.021812
  57.500000  0.019422	  0.023916	  0.024067	  0.021332	  0.022184
  58.500000  0.019620	  0.024492	  0.024026	  0.021870	  0.022502
  59.500000  0.019953	  0.024744	  0.023375	  0.021681	  0.022438
  60.500000  0.020901	  0.025320	  0.023098	  0.022009	  0.022832
  61.500000  0.020523	  0.025398	  0.022355	  0.022503	  0.022695
  62.500000  0.021153	  0.025546	  0.022223	  0.021943	  0.022716
  63.500000  0.020328	  0.025373	  0.021263	  0.022364	  0.022332
  64.500000  0.020778	  0.025209	  0.020054	  0.022327	  0.022092
  65.500000  0.020577	  0.024847	  0.019400	  0.022103	  0.021732
  66.500000  0.020139	  0.024032	  0.018704	  0.022009	  0.021221
  67.500000  0.019894	  0.023384	  0.017445	  0.021458	  0.020545
  68.500000  0.019119	  0.022821	  0.016567	  0.021159	  0.019917
  69.500000  0.019333	  0.022197	  0.015245	  0.020992	  0.019442
  70.500000  0.018553	  0.021039	  0.014178	  0.020611	  0.018595
  71.500000  0.018172	  0.019925	  0.012913	  0.020010	  0.017755
  72.500000  0.017354	  0.019463	  0.012010	  0.018814	  0.016910
  73.500000  0.016425	  0.017955	  0.011034	  0.018468	  0.015971
  74.500000  0.016060	  0.016973	  0.010244	  0.017905	  0.015296
  75.500000  0.015283	  0.015821	  0.009180	  0.017269	  0.014388
