#Bin1	Bin2	over npts	over nmax	Counts	max1000	over sqrtnpts
1.25	1.21	   0.00000	   0.00000	0	         0	   0.00000
1.25	1.35	   0.00000	   0.00000	0	         0	   0.00000
1.25	1.49	   0.00000	   0.00000	0	         0	   0.00000
1.25	1.63	   0.00000	   0.00000	0	         0	   0.00000
1.25	1.77	   0.00000	   0.00000	0	         0	   0.00000
1.25	1.91	   0.00000	   0.00000	0	         0	   0.00000
1.25	2.05	   0.00000	   0.00000	0	         0	   0.00000
1.25	2.19	   0.00000	   0.00000	0	         0	   0.00000
1.25	2.33	   0.00000	   0.00000	0	         0	   0.00000
1.25	2.47	   0.00000	   0.00000	0	         0	   0.00000
1.25	2.61	   0.00000	   0.00000	0	         0	   0.00000
1.25	2.75	   0.00000	   0.00000	0	         0	   0.00000
1.25	2.89	   0.00000	   0.00000	0	         0	   0.00000
1.25	3.03	   0.00000	   0.00000	0	         0	   0.00000
1.25	3.17	   0.00000	   0.00000	0	         0	   0.00000
1.25	3.31	   0.00000	   0.00000	0	         0	   0.00000
1.25	3.45	   0.00000	   0.00000	0	         0	   0.00000
1.25	3.59	   0.00000	   0.00000	0	         0	   0.00000
1.25	3.73	   0.00000	   0.00000	0	         0	   0.00000
1.25	3.87	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.01	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.15	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.29	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.43	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.57	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.71	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.85	   0.00000	   0.00000	0	         0	   0.00000
1.25	4.99	   0.00000	   0.00000	0	         0	   0.00000
1.25	5.13	   0.00000	   0.00000	0	         0	   0.00000
1.25	5.27	   0.00000	   0.00000	0	         0	   0.00000
1.25	5.41	   0.00000	   0.00000	0	         0	   0.00000
1.25	5.55	   0.00000	   0.00000	0	         0	   0.00000
1.25	5.69	   0.00000	   0.00000	0	         0	   0.00000
1.25	5.83	   0.00000	   0.00000	0	         0	   0.00000
1.25	5.97	   0.00000	   0.00000	0	         0	   0.00000
1.25	6.11	   0.00000	   0.00000	0	         0	   0.00000
1.25	6.25	   0.00000	   0.00000	0	         0	   0.00000
1.25	6.39	   0.00000	   0.00000	0	         0	   0.00000
1.25	6.53	   0.00000	   0.00000	0	         0	   0.00000
1.25	6.67	   0.00000	   0.00000	0	         0	   0.00000
1.25	6.81	   0.00000	   0.00000	0	         0	   0.00000
1.25	6.95	   0.00000	   0.00000	0	         0	   0.00000
1.25	7.09	   0.00000	   0.00000	0	         0	   0.00000
1.25	7.23	   0.00000	   0.00000	0	         0	   0.00000
1.25	7.37	   0.00000	   0.00000	0	         0	   0.00000
1.25	7.51	   0.00000	   0.00000	0	         0	   0.00000
1.25	7.65	   0.00000	   0.00000	0	         0	   0.00000
1.25	7.79	   0.00000	   0.00000	0	         0	   0.00000
1.25	7.93	   0.00000	   0.00000	0	         0	   0.00000

1.35	1.07	   0.00000	   0.00000	0	         0	   0.00000
1.35	1.21	   0.00000	   0.00000	0	         0	   0.00000
1.35	1.35	   0.00000	   0.00000	0	         0	   0.00000
1.35	1.49	   0.00000	   0.00000	0	         0	   0.00000
1.35	1.63	   0.00000	   0.00000	0	         0	   0.00000
1.35	1.77	   0.00000	   0.00000	0	         0	   0.00000
1.35	1.91	   0.00000	   0.00000	0	         0	   0.00000
1.35	2.05	   0.00000	   0.00000	0	         0	   0.00000
1.35	2.19	   0.00000	   0.00000	0	         0	   0.00000
1.35	2.33	   0.00000	   0.00000	0	         0	   0.00000
1.35	2.47	   0.00000	   0.00000	0	         0	   0.00000
1.35	2.61	   0.00000	   0.00000	0	         0	   0.00000
1.35	2.75	   0.00000	   0.00000	0	         0	   0.00000
1.35	2.89	   0.00000	   0.00000	0	         0	   0.00000
1.35	3.03	   0.00000	   0.00000	0	         0	   0.00000
1.35	3.17	   0.00000	   0.00000	0	         0	   0.00000
1.35	3.31	   0.00000	   0.00000	0	         0	   0.00000
1.35	3.45	   0.00000	   0.00000	0	         0	   0.00000
1.35	3.59	   0.00000	   0.00000	0	         0	   0.00000
1.35	3.73	   0.00000	   0.00000	0	         0	   0.00000
1.35	3.87	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.01	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.15	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.29	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.43	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.57	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.71	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.85	   0.00000	   0.00000	0	         0	   0.00000
1.35	4.99	   0.00000	   0.00000	0	         0	   0.00000
1.35	5.13	   0.00000	   0.00000	0	         0	   0.00000
1.35	5.27	   0.00000	   0.00000	0	         0	   0.00000
1.35	5.41	   0.00000	   0.00000	0	         0	   0.00000
1.35	5.55	   0.00000	   0.00000	0	         0	   0.00000
1.35	5.69	   0.00000	   0.00000	0	         0	   0.00000
1.35	5.83	   0.00000	   0.00000	0	         0	   0.00000
1.35	5.97	   0.00000	   0.00000	0	         0	   0.00000
1.35	6.11	   0.00000	   0.00000	0	         0	   0.00000
1.35	6.25	   0.00000	   0.00000	0	         0	   0.00000
1.35	6.39	   0.00000	   0.00000	0	         0	   0.00000
1.35	6.53	   0.00000	   0.00000	0	         0	   0.00000
1.35	6.67	   0.00000	   0.00000	0	         0	   0.00000
1.35	6.81	   0.00000	   0.00000	0	         0	   0.00000
1.35	6.95	   0.00000	   0.00000	0	         0	   0.00000
1.35	7.09	   0.00000	   0.00000	0	         0	   0.00000
1.35	7.23	   0.00000	   0.00000	0	         0	   0.00000
1.35	7.37	   0.00000	   0.00000	0	         0	   0.00000
1.35	7.51	   0.00000	   0.00000	0	         0	   0.00000
1.35	7.65	   0.00000	   0.00000	0	         0	   0.00000
1.35	7.79	   0.00000	   0.00000	0	         0	   0.00000
1.35	7.93	   0.00000	   0.00000	0	         0	   0.00000

1.45	1.07	   0.00000	   0.00000	0	         0	   0.00000
1.45	1.21	   0.00000	   0.00000	0	         0	   0.00000
1.45	1.35	   0.00000	   0.00000	0	         0	   0.00000
1.45	1.49	   0.00000	   0.00000	0	         0	   0.00000
1.45	1.63	   0.00000	   0.00000	0	         0	   0.00000
1.45	1.77	   0.00000	   0.00000	0	         0	   0.00000
1.45	1.91	   0.00000	   0.00000	0	         0	   0.00000
1.45	2.05	   0.00000	   0.00000	0	         0	   0.00000
1.45	2.19	   0.00000	   0.00000	0	         0	   0.00000
1.45	2.33	   0.00000	   0.00000	0	         0	   0.00000
1.45	2.47	   0.00000	   0.00000	0	         0	   0.00000
1.45	2.61	   0.00000	   0.00000	0	         0	   0.00000
1.45	2.75	   0.00000	   0.00000	0	         0	   0.00000
1.45	2.89	   0.00000	   0.00000	0	         0	   0.00000
1.45	3.03	   0.00000	   0.00000	0	         0	   0.00000
1.45	3.17	   0.00000	   0.00000	0	         0	   0.00000
1.45	3.31	   0.00000	   0.00000	0	         0	   0.00000
1.45	3.45	   0.00000	   0.00000	0	         0	   0.00000
1.45	3.59	   0.00000	   0.00000	0	         0	   0.00000
1.45	3.73	   0.00000	   0.00000	0	         0	   0.00000
1.45	3.87	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.01	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.15	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.29	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.43	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.57	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.71	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.85	   0.00000	   0.00000	0	         0	   0.00000
1.45	4.99	   0.00000	   0.00000	0	         0	   0.00000
1.45	5.13	   0.00000	   0.00000	0	         0	   0.00000
1.45	5.27	   0.00000	   0.00000	0	         0	   0.00000
1.45	5.41	   0.00000	   0.00000	0	         0	   0.00000
1.45	5.55	   0.00000	   0.00000	0	         0	   0.00000
1.45	5.69	   0.00000	   0.00000	0	         0	   0.00000
1.45	5.83	   0.00000	   0.00000	0	         0	   0.00000
1.45	5.97	   0.00000	   0.00000	0	         0	   0.00000
