#Frame            H-O        H-OG1        H2N-O      H2N-OG1
     138       3.1236       2.4717       2.6765       2.5480
     139       3.3819       2.5680       3.3482       2.9302
     140       3.2627       2.5867       2.8594       2.6813
     141       2.9379       2.3982       3.5344       2.9311
     142       3.1542       2.6554       3.3334       2.7149
     143       3.0092       2.6678       2.8774       2.6833
     144       2.9550       2.1831       2.9398       3.0039
     145       3.1481       2.5529       3.0987       2.7691
     146       3.1018       2.5577       3.3932       2.7491
     147       3.1239       2.7277       3.4561       2.8083
     148       3.0025       2.5370       3.3430       2.6885
     149       3.4113       2.6705       2.8485       2.5680
     150       3.3763       2.7078       3.1832       2.5977
     151       3.1175       2.4404       2.6511       2.4093
     152       3.1476       2.5702       3.0933       2.9317
     153       3.4974       2.4846       3.4863       3.0283
     154       3.4339       2.9625       2.6900       2.4967
     155       3.0581       2.9863       2.9394       2.7428
     156       3.1625       2.7202       2.7498       2.7252
     157       3.2615       2.8615       2.8736       3.1090
     158       3.4466       2.8249       2.6572       2.7259
     159       3.3738       2.9399       3.1646       2.6479
     160       3.2653       2.5281       2.4432       2.6822
     161       3.2611       2.4802       2.0452       2.4748
     162       3.1722       2.5755       2.4812       2.4357
     163       3.0521       2.4463       3.4394       3.0722
     164       3.2946       2.4018       3.3138       2.7181
     165       3.5282       2.9902       2.7733       2.4722
     166       3.3603       2.5476       2.8580       2.4987
     167       3.0709       2.3020       2.2755       2.3161
     168       3.1784       2.3893       3.0947       2.4185
     169       3.3267       2.5971       1.9860       2.7372
     170       3.3820       2.4104       2.4907       2.4840
     171       3.1270       2.3243       2.0807       2.5649
     172       3.2778       2.3105       1.8265       2.4874
     173       3.2752       2.2543       2.9401       2.3633
     174       3.2189       2.4364       2.6501       2.7699
     175       3.2500       2.5820       2.8709       2.6665
     176       3.4479       2.4272       3.0229       2.8349
     177       2.9808       2.4328       2.5901       2.4776
     178       3.3204       2.3675       2.6752       2.5896
     179       3.1833       2.5519       2.4373       2.4309
     180       3.5096       2.6976       1.8681       2.5058
     181       3.2262       2.7031       2.2945       2.4111
     182       3.5424       2.8590       2.3442       2.9104
     183       3.5943       2.7295       2.7405       2.5118
     184       3.3055       2.6527       2.6690       2.4298
     185       3.0912       2.2859       3.0153       2.6855
     186       3.3836       2.6817       2.4918       2.7599
     187       3.3203       2.2308       3.2211       3.0650
     188       3.3864       2.5028       2.6001       2.4609
     189       3.2229       2.4163       3.1633       3.1027
     190       3.3007       2.6423       2.5801       2.5920
     191       3.3471       2.7551       2.0819       2.5140
     192       2.9860       2.2606       2.3810       2.7480
     193       2.9937       2.4044       2.6196       2.5868
     194       3.2789       2.4372       3.2126       2.9288
     195       3.4223       2.2309       4.0540       3.2026
     196       3.5234       2.2306       2.5042       2.6482
     197       3.2718       2.4852       2.8963       2.4133
     198       3.4524       2.4586       2.6304       2.4775
     199       3.4330       2.4640       2.1820       2.4178
     200       3.2890       2.5738       3.3379       2.4729
     201       3.4307       2.7763       3.1528       2.6354
     202       3.0869       2.4498       2.7541       2.3609
     203       3.4146       2.7349       3.4367       2.4629
     204       3.1610       2.4500       3.2893       2.2284
     205       3.4365       2.5598       2.5386       2.5322
     206       3.1720       2.3046       3.6512       2.7841
     207       3.5016       2.5246       2.4720       2.4419
     208       3.3107       2.5474       2.7583       2.6318
     209       3.2862       2.5311       3.0798       2.6490
     210       3.1463       2.4143       2.9154       2.5762
     211       3.3161       2.5656       2.5861       2.4348
