#Frame            H-O        H-OG1        H2N-O      H2N-OG1
    1314       2.9680       2.2182       2.1521       2.5506
    1315       3.2667       2.1425       2.7995       2.6042
    1316       3.3238       2.3130       2.0907       2.6281
    1317       3.2237       2.5348       2.1268       2.5275
    1318       3.2917       2.2344       2.6306       2.7560
    1319       2.9740       2.4086       2.2711       2.1913
    1320       3.6419       2.6163       2.1374       2.3074
    1321       3.2336       2.3538       2.1273       2.5826
    1322       3.0971       2.4104       2.4824       2.5989
    1323       2.9792       2.4414       2.7486       2.3853
    1324       3.0845       2.2648       2.4490       2.4280
    1325       2.9337       2.3360       2.3371       2.7457
    1326       3.2279       2.4572       2.3252       2.3313
    1327       2.9957       2.3256       2.6347       2.6569
    1328       3.2580       2.2534       2.3315       2.5851
    1329       2.6930       2.2482       2.1667       2.4814
    1330       3.2647       2.1267       2.8415       2.8204
    1331       3.0795       2.4366       2.0994       2.5008
    1332       3.2509       2.3167       2.4059       2.6151
    1333       2.9380       2.2563       2.2967       2.4968
    1334       3.0556       2.1412       2.1507       2.6036
    1335       3.3906       2.3848       2.0259       2.3844
    1336       2.9794       2.4513       3.2098       2.8051
    1337       2.8644       2.2885       2.4148       2.6445
    1338       2.9392       2.2012       2.2674       2.4937
    1339       2.9847       2.3366       2.1407       2.6396
    1340       3.0944       2.4784       2.5489       2.8552
    1341       3.2154       2.3444       3.0924       2.9512
    1342       3.2651       2.1929       2.1170       2.6555
    1343       3.1387       2.5189       2.5362       2.5475
    1344       3.0327       2.3442       1.8996       2.5419
    1345       2.9262       2.2302       2.3350       2.6900
    1346       3.2239       2.2262       3.1371       2.8463
    1347       2.7327       2.1474       2.3195       2.4739
    1348       3.1335       2.2253       2.3058       2.5585
    1349       2.8230       2.6296       2.1082       2.4994
    1350       3.3327       2.2456       2.4754       2.5737
    1351       3.2497       2.4383       2.2843       2.7066
    1352       3.0620       2.3653       1.8517       2.4905
    1353       3.3791       2.4124       2.1585       2.6005
    1354       3.1806       2.4735       1.9755       2.4929
    1355       3.0272       2.4084       2.0646       2.4966
    1356       3.1717       2.3949       3.4446       2.5741
    1357       2.9515       2.1704       2.1164       2.5385
    1358       2.8908       2.4013       2.3746       2.2367
    1359       3.4124       2.4817       2.8081       2.5650
    1360       3.2257       2.2513       2.5285       2.5079
    1361       3.2492       2.3929       2.9368       2.7350
    1362       3.3770       2.4850       2.7822       2.7888
    1363       3.1663       2.4202       1.9689       2.3938
    1364       2.4203       2.6712       2.4548       2.6477
    1365       2.6398       2.4442       2.4246       2.6173
    1366       3.2621       2.2100       2.4218       2.5659
    1367       3.1421       2.4390       2.8227       2.5214
    1368       2.7938       2.2720       2.7634       2.4158
    1369       3.1614       2.1565       2.4549       2.4441
    1370       3.1147       2.2570       4.0788       3.2266
    1371       3.0890       2.4542       3.0459       3.0219
    1372       3.0765       2.3340       2.9201       2.5839
    1373       2.7695       2.4712       2.3444       2.7470
    1374       3.3090       2.2284       2.3291       2.6704
    1375       3.3258       2.1928       2.4749       2.4789
    1376       3.1174       2.2751       3.1816       2.7840
    1377       2.8801       2.2777       2.1613       2.6006
    1378       2.8756       2.2347       1.9107       2.5769
    1379       3.2092       2.8608       2.6055       2.4205
    1380       3.2615       2.4198       2.3029       2.4264
    1381       3.1348       2.2516       2.3610       2.4319
    1382       3.2030       2.4286       2.1052       2.6909
    1383       3.2550       2.4378       2.3473       2.3187
    1384       3.2682       2.4810       3.4677       3.0297
    1385       3.0968       2.3427       2.6401       2.6151
    1386       2.5584       2.5495       2.5566       2.4699
    1387       2.6982       2.5165       2.0564       2.4894
    1388       2.4552       2.5955       2.1646       2.4862
    1389       2.3582       2.8129       2.1744       2.3968
    1390       3.2313       2.3000       2.0281       2.4573
    1391       3.1400       2.2531       2.1607       2.5619
    1392       3.4512       2.5903       2.6609       2.4868
    1393       3.5672       2.5172       2.6566       2.5092
    1394       3.0727       2.3518       2.0773       2.6583
    1395       3.0289       2.4168       1.9969       2.1789
    1396       2.8989       2.2547       2.5685       2.7174
    1397       2.5660       2.5929       3.0688       2.7468
    1398       2.7770       2.5825       2.2316       2.3209
    1399       2.7172       2.2915       2.6334       2.6836
    1400       3.0627       2.2223       2.0420       2.5460
    1401       2.9248       2.2031       2.1128       2.4180
    1402       2.7763       2.5135       2.0248       2.5234
    1403       2.1186       3.0619       2.1489       2.3678
    1404       3.0717       2.4892       2.6165       2.7090
    1405       2.4787       2.8641       2.4638       2.5048
    1406       2.8585       2.2765       2.5222       2.6765
    1407       2.6630       2.1976       2.0205       2.4861
    1408       2.5619       2.8981       2.1140       2.4707
    1409       3.0395       2.9139       2.5074       2.5050
    1410       3.1199       2.3632       2.2864       2.3567
    1411       2.7603       2.3886       2.1703       2.4936
    1412       2.9204       2.1076       2.2301       2.5326
    1413       3.3269       2.3687       2.1564       2.4597
    1414       3.2748       2.5291       2.1014       2.4494
    1415       3.3284       2.3954       2.0777       2.3689
    1416       2.9130       2.2839       1.9126       2.2518
    1417       2.9644       2.3718       2.2292       2.6555
    1418       2.9744       2.3557       2.5711       2.5442
    1419       3.0560       2.2832       2.4775       2.7912
    1420       2.8723       2.7292       2.6005       2.6541
    1421       2.6689       2.4229       2.5249       2.5647
    1422       2.9875       2.2155       2.5074       2.8166
    1423       3.2072       2.5731       2.2137       2.4555
    1424       3.0554       2.1817       2.4212       2.5211
    1425       3.3598       2.4139       2.4350       2.6690
    1426       3.0687       2.5757       1.9219       2.4440
    1427       3.1083       2.4272       2.4325       2.5112
    1428       3.6033       2.3274       3.4607       2.5597
    1429       3.3263       2.3820       2.0077       2.7204
    1430       3.0380       2.4277       3.0274       2.8541
    1431       3.0378       2.3348       2.3352       2.6713
    1432       3.5583       2.6077       2.0548       2.5384
    1433       3.5376       2.5036       3.2212       2.8698
    1434       3.1405       2.1993       2.3108       2.8190
    1435       3.1669       2.3356       2.1222       2.3631
    1436       3.3742       2.1538       2.4603       2.3024
    1437       3.2248       2.3328       2.4099       2.2495
    1438       2.8729       2.3539       2.9211       2.5109
    1439       3.3574       2.4502       3.1652       2.6922
    1440       2.8836       2.4693       2.4347       2.8297
    1441       3.2773       2.5179       2.3888       2.3462
    1442       2.8573       2.1676       3.1862       3.0514
    1443       3.1138       2.3758       2.7738       2.6519
    1444       3.0477       2.3054       2.9648       2.7032
    1445       3.3319       2.2568       2.9334       2.8492
    1446       3.2723       2.3185       2.5807       2.6017
    1447       3.5015       2.3873       3.0768       2.8519
    1448       3.1946       2.3121       2.3495       2.4742
    1449       3.6202       2.6861       2.3597       2.4229
    1450       3.2427       2.1115       2.0402       2.8105
    1451       3.2126       2.1779       2.1938       2.3417
    1452       3.0474       2.5189       2.2583       2.4776
    1453       3.6815       2.6263       2.2413       2.7825
    1454       3.3078       2.3850       2.1641       2.4155
    1455       3.2417       2.5188       2.2327       2.3179
    1456       3.5167       2.5672       4.0480       3.0260
    1457       3.4929       2.3807       2.9689       2.4939
    1458       3.3218       2.3666       3.1624       2.7376
    1459       3.6795       2.4266       2.4473       2.8518
    1460       3.3866       2.4137       2.5085       2.6967
    1461       3.3400       2.2515       3.4307       2.7733
    1462       3.2831       2.4649       2.4479       2.7245
    1463       3.1902       2.3084       2.3293       2.5734
    1464       3.0636       2.2211       2.0795       2.2926
    1465       2.9217       2.3295       2.1330       2.4675
    1466       2.4150       2.9332       2.3499       2.4692
    1467       2.5156       2.8078       2.9392       2.6975
    1468       3.0841       2.4120       2.1200       2.5993
    1469       3.2335       2.3811       2.2128       2.5480
    1470       3.3982       2.3854       3.0287       2.5322
    1471       3.4145       2.2664       2.2008       2.8298
    1472       3.3411       2.4748       2.6455       2.6363
    1473       2.9997       2.4513       2.3158       2.7767
    1474       3.0482       2.3900       2.8541       2.5582
    1475       3.1242       2.4622       3.1667       2.7654
    1476       3.3541       2.2463       2.2794       2.3271
    1477       3.0750       2.2007       4.4373       3.0956
    1478       3.1178       2.2963       3.5199       2.8738
    1479       3.1017       2.2469       3.4290       2.6174
    1480       3.4146       2.0746       3.1964       2.9048
    1481       3.1008       2.1900       2.6517       2.4962
    1482       2.9576       2.3942       3.3563       2.5519
    1483       3.2429       2.1327       3.2954       2.7987
    1484       2.9149       2.4191       3.0052       2.5606
    1485       3.3118       2.1396       4.4011       2.9952
    1486       3.2590       2.2808       2.7147       2.5227
    1487       3.1880       2.5113       4.1361       2.7611
    1488       3.4016       2.1380       3.4672       2.6537
    1489       3.5586       2.6273       2.8888       2.5527
    1490       3.0840       2.6257       3.2339       2.6533
    1491       2.8767       2.6204       3.2114       2.4903
    1492       2.9718       2.7163       2.1876       2.4293
    1493       2.9401       2.5930       3.0380       2.5827
    1494       3.2490       2.5030       3.1554       2.7024
    1495       3.1030       2.4852       4.4489       3.0075
    1496       3.4244       2.6059       2.4156       2.5713
    1497       3.5440       2.6609       3.5706       2.6868
    1498       2.8671       2.7942       2.1948       2.4183
    1499       3.5641       2.6228       2.5637       2.5809
    1500       3.2811       2.4360       2.7219       2.5661
    1501       3.3105       2.5332       2.0734       2.7166
    1502       3.2997       2.6054       2.5983       2.5744
    1503       3.3809       2.6349       2.9041       2.5428
    1504       3.1584       2.2715       2.7151       2.4697
    1505       3.1616       2.3334       2.3076       2.5301
    1506       3.2632       2.1707       2.6444       2.5428
    1507       3.4422       2.5391       2.4754       2.6825
    1508       3.1525       2.4022       2.9432       2.8549
    1509       3.0284       2.3573       2.2749       2.8314
    1510       3.4778       2.3418       3.2695       2.6501
    1511       3.1788       2.4693       2.3576       2.8288
    1512       3.3766       2.5857       2.2422       2.1520
    1513       3.4882       2.3661       3.2563       2.6709
    1514       2.9694       1.9268       2.5106       2.2979
    1515       3.5140       2.5119       2.1026       2.5008
    1516       3.3889       2.6119       2.5943       2.3840
    1517       3.2838       2.4918       1.9347       2.5842
    1518       3.4067       2.2490       2.2018       2.6973
    1519       3.1292       2.1492       2.2815       2.1709
    1520       3.5612       2.4575       2.3888       2.4241
    1521       3.5332       2.2629       2.6046       2.6976
    1522       3.3065       2.3473       2.2489       2.5569
    1523       3.2733       2.5131       2.2357       2.5150
    1524       3.3873       2.3956       1.8782       2.6829
    1525       3.2381       2.3430       2.6932       2.4443
    1526       2.7010       2.2403       2.2234       2.4070
    1527       3.4930       2.5779       2.2854       2.6549
    1528       3.1557       2.3078       2.4205       2.6983
    1529       3.1087       2.4467       2.3430       2.4730
    1530       3.2689       2.3778       2.5263       2.7274
    1531       2.5840       2.1463       2.2346       2.6150
    1532       2.9236       2.2636       2.3108       2.7240
    1533       3.3011       2.2994       2.8981       3.0122
    1534       3.6978       2.5289       2.4140       2.5168
    1535       3.4453       2.4183       3.0326       3.1953
    1536       3.5116       2.1913       3.3726       3.0055
    1537       3.0499       2.1584       2.6440       2.5721
    1538       2.7854       2.4857       3.3872       3.0122
    1539       2.8251       2.3913       3.1091       3.1973
    1540       3.2501       2.2960       3.3809       3.2044
    1541       3.1409       2.2341       2.1588       2.8295
    1542       3.0218       2.4430       2.2168       2.5041
    1543       3.0952       2.3522       2.2740       2.3591
    1544       2.7227       2.7600       1.8812       2.5607
    1545       2.5797       2.9760       2.5349       2.6533
    1546       2.7197       2.7737       4.3559       3.5517
    1547       2.5388       2.7301       3.0417       3.2262
    1548       3.0599       2.4301       2.7780       3.0143
    1549       3.1185       2.3456       2.8441       2.7039
    1550       2.9678       2.4641       2.4126       2.5475
    1551       3.3385       2.3231       1.9470       2.6629
    1552       3.1233       2.4786       2.8181       2.8764
    1553       3.1627       2.2863       2.6417       2.4156
    1554       3.3796       2.4021       2.2674       2.4653
    1555       3.3250       2.3434       2.6551       2.7920
    1556       3.3055       2.3513       2.2207       2.5902
    1557       3.0804       2.1300       3.0535       3.2105
    1558       3.2471       2.3279       2.8872       2.9123
    1559       2.8766       2.3593       2.3229       2.4527
    1560       2.9821       2.3395       2.4433       2.6318
    1561       3.2736       2.5596       2.3078       2.5637
    1562       3.4418       2.8800       3.0199       2.8200
    1563       2.9253       2.6640       3.8057       3.3765
    1564       3.0995       2.2403       2.6465       2.7467
    1565       3.2718       2.2845       2.9602       2.8106
    1566       3.5004       2.5603       3.0964       3.0101
    1567       3.2459       2.2352       2.5637       2.4863
    1568       3.1232       2.4235       3.3710       3.1190
    1569       3.4449       2.4864       3.4888       3.0280
    1570       3.4839       2.2954       2.2016       2.4218
    1571       3.3597       2.6844       2.0532       2.5203
    1572       3.1185       2.4722       3.1043       2.7309
    1573       3.0375       2.3550       2.5105       2.5923
    1574       3.2527       2.4806       3.5853       2.5164
    1575       3.3925       2.1779       3.5458       2.5237
    1576       3.0447       2.2548       2.5387       2.7020
    1577       3.3451       2.5919       2.9958       2.4337
    1578       2.9726       2.2999       3.0695       2.8372
    1579       2.7256       2.5070       3.1660       2.8434
    1580       3.1023       2.3225       3.2958       2.6571
    1581       2.9317       2.4411       3.1663       2.7718
    1582       2.7402       2.5033       2.5663       2.2602
    1583       3.4118       2.7349       2.8471       2.7917
    1584       2.9829       2.3466       2.8532       2.9663
    1585       3.1082       2.4610       3.1743       3.0040
    1586       3.4282       2.2236       2.7346       2.8283
    1587       3.2858       2.3576       2.6215       2.6205
    1588       2.4836       2.3320       3.2870       3.1607
    1589       2.4487       2.9197       3.0013       2.7262
    1590       3.0955       2.3438       3.7001       2.8604
    1591       3.1792       2.4533       3.5096       2.4801
    1592       2.6816       2.4032       4.0439       3.1215
    1593       3.3262       2.2532       4.0761       3.0078
    1594       3.0739       2.3238       3.5627       3.0812
    1595       3.0953       2.5771       3.7398       2.5971
    1596       3.4527       2.3917       3.8150       3.0336
    1597       3.3749       2.0157       4.4242       2.8944
    1598       3.0569       2.4184       3.2428       2.7121
    1599       3.4743       2.6115       3.1407       2.6913
    1600       3.2394       2.1890       2.7901       2.4532
    1601       3.1580       2.3811       4.3187       2.8316
    1602       3.2823       2.3653       3.7947       2.7579
    1603       3.2394       2.2799       2.3076       2.4421
    1604       3.4042       2.1985       3.9354       2.8746
    1605       3.2142       2.3192       3.6312       2.5402
    1606       3.4177       2.3559       3.7401       2.6599
    1607       3.5072       2.4655       3.5418       2.8886
    1608       3.0144       2.2533       3.8071       2.8335
    1609       3.1008       2.1872       4.3310       3.0421
    1610       3.3200       2.1983       3.3020       2.9057
    1611       2.7728       2.4108       3.8604       2.3767
    1612       2.9712       2.4263       4.0036       2.8954
    1613       2.8445       2.4864       3.6465       2.9036
    1614       3.0993       2.5157       3.4707       2.5723
    1615       3.1534       2.5799       3.4016       2.4040
    1616       3.5691       2.3460       3.5637       2.7059
    1617       3.1892       2.2828       3.4531       2.9451
    1618       3.3148       2.3778       3.0648       2.6380
    1619       3.3359       2.3237       3.5938       3.0778
    1620       3.1184       2.2300       3.2911       2.7991
    1621       3.5981       2.6011       3.8785       3.0309
    1622       3.0101       2.5855       3.9040       3.0864
    1623       3.0802       2.4699       3.8859       2.8997
    1624       3.2020       2.2620       2.7528       2.5165
    1625       3.5828       2.4807       4.0658       2.9478
    1626       3.5006       2.3625       2.9678       2.7577
    1627       2.8632       2.3519       3.3557       2.2737
    1628       3.3031       2.3551       2.8970       2.4609
    1629       3.3799       2.2871       3.4493       2.6148
    1630       2.4747       2.8353       2.6304       2.7351
    1631       2.4450       2.4953       2.8861       2.8382
    1632       2.6328       2.6956       4.1646       3.0066
    1633       2.4525       2.5268       4.2061       3.0808
    1634       3.4780       2.3337       3.2030       2.7531
    1635       3.4863       2.2773       3.8998       2.6275
    1636       2.9028       2.4401       2.9910       2.5328
    1637       2.8642       2.3377       3.4471       3.0286
    1638       3.0963       2.1023       3.3871       2.6221
    1639       3.1791       2.0626       3.9266       2.9218
    1640       3.3804       2.4499       3.4823       2.8101
    1641       3.0586       2.1875       3.6542       3.0089
    1642       3.2213       2.1381       3.0235       2.7580
    1643       2.7751       2.4161       2.1365       2.3881
    1644       3.1395       2.4097       2.4026       2.4236
    1645       2.9420       2.3114       2.2359       2.2556
    1646       2.3576       2.6394       1.9411       2.4664
    1647       2.4927       2.8011       2.4536       2.7317
    1648       2.3567       2.7099       2.5527       2.6172
    1649       3.2140       2.1931       2.5273       2.1656
    1650       3.2727       2.4143       2.9955       2.5500
    1651       3.3323       2.3360       3.5996       3.2002
    1652       2.5577       2.9948       2.0655       2.7092
    1653       3.1545       2.5167       2.4118       2.6229
    1654       2.9579       2.2533       1.9762       2.7748
    1655       3.3938       2.2439       3.3096       2.8785
    1656       2.7705       2.2386       2.3600       2.7402
    1657       3.1588       2.6204       2.6753       2.6907
    1658       3.0650       2.2051       3.5307       2.6074
    1659       3.0730       2.6449       2.4339       2.3459
    1660       3.2365       2.3163       2.3008       2.7095
    1661       3.1221       2.4242       2.8664       2.3174
    1662       2.7198       2.5193       2.2773       2.5979
    1663       2.9823       2.3790       2.2760       2.4510
    1664       2.7916       2.5858       2.1675       2.6151
    1665       2.5907       2.5365       2.7593       2.2037
    1666       3.1469       2.1207       2.9684       2.4660
    1667       3.0996       2.4128       2.1415       2.7561
    1668       3.2501       2.2665       3.4251       2.6349
    1669       3.2262       2.4806       2.4658       2.5721
    1670       3.0520       2.2733       2.0967       2.6219
    1671       3.3374       2.5512       2.1636       2.4201
    1672       3.4937       2.4865       3.2554       2.5932
    1673       3.1549       2.3799       2.3067       2.5564
    1674       3.1029       2.5654       2.5724       2.3540
    1675       2.8489       2.5120       2.3718       2.3818
    1676       2.9610       2.3893       2.5359       2.4871
    1677       3.0531       2.3588       2.4583       2.6630
    1678       3.3320       2.6288       2.8588       2.7725
    1679       2.8780       2.2761       3.0768       2.6565
    1680       3.1431       2.2577       2.5907       2.4646
    1681       3.2518       2.2789       3.5842       2.9933
    1682       3.0652       2.4252       1.9929       2.5608
    1683       3.3577       2.4582       3.4456       3.0104
    1684       3.1684       2.3430       2.0444       2.3947
    1685       2.7819       2.2792       1.8728       2.6684
    1686       3.7054       2.4666       2.3287       2.5530
    1687       3.3011       2.3323       2.6605       2.6240
    1688       3.1263       2.2040       2.8791       2.8693
    1689       3.2224       2.2029       1.8117       2.5557
    1690       3.2445       2.3974       2.2698       2.6378
    1691       3.0248       2.4427       2.0889       2.2757
    1692       3.2930       2.2544       3.0020       2.9154
    1693       3.5513       2.4733       3.9217       2.8467
    1694       2.8568       2.4257       3.5788       2.7512
    1695       3.2642       2.2460       2.5869       2.6611
    1696       2.7115       2.8419       2.2862       2.7216
    1697       3.0165       2.6027       2.4580       2.3155
    1698       3.3503       2.5205       2.5113       2.5910
    1699       2.6770       2.4407       2.4321       2.8262
    1700       3.3915       2.4086       2.5151       2.8485
    1701       2.9006       2.4458       2.7628       2.7882
    1702       2.6354       2.5887       2.3369       2.4896
    1703       3.3285       2.3400       2.5457       2.5741
    1704       2.6057       2.3309       2.4931       2.5133
    1705       3.0626       2.3682       2.0628       2.4497
    1706       2.8654       2.3911       2.3960       2.2893
    1707       3.2393       2.3471       2.2513       2.7723
    1708       3.3055       2.3314       2.5945       2.4522
    1709       3.0182       2.3443       2.4747       2.6463
    1710       3.4398       2.7821       2.2639       2.4345
    1711       2.8911       2.1370       2.8626       2.5912
    1712       3.1171       2.5823       2.1836       2.6674
    1713       2.9220       2.1776       2.2175       2.4163
    1714       2.8248       2.4971       2.4387       2.6091
    1715       2.7953       2.3500       3.3415       2.8886
    1716       2.9546       2.4656       3.6980       2.8029
    1717       2.9106       2.5273       3.7668       2.8489
    1718       3.0257       2.2995       3.3650       2.8385
    1719       2.6719       2.7788       2.9574       2.5636
    1720       2.3772       2.7070       3.6610       2.9918
    1721       2.4228       2.7174       2.2328       2.5962
    1722       2.3897       2.7621       3.7710       3.1911
    1723       2.3793       2.7917       2.8660       2.7924
    1724       2.7651       2.7126       3.0428       2.5753
    1725       2.9390       2.3423       2.3246       2.4608
    1726       3.0099       2.4246       3.0765       2.5966
    1727       2.6301       2.2586       2.3565       2.4894
    1728       3.2168       2.3045       2.9719       2.9159
    1729       3.5555       2.5123       2.6378       2.6037
    1730       3.0283       2.4322       3.2349       2.7722
    1731       2.8366       2.3014       2.8032       2.8181
    1732       3.0488       2.2200       2.9181       2.7438
    1733       3.1119       2.2320       3.0256       2.7183
    1734       3.1117       2.2881       2.2690       2.7198
    1735       3.3493       2.4710       2.0972       2.5527
    1736       3.2116       2.3876       3.4075       2.7870
    1737       3.1295       2.4653       1.9582       2.7417
    1738       3.1552       2.4672       2.2289       2.5793
    1739       3.0203       2.5153       2.5725       2.2607
    1740       3.1608       2.3289       3.6581       2.9873
    1741       2.9539       2.2735       3.9267       3.3242
    1742       2.9381       2.2846       2.5184       2.4283
    1743       3.0392       2.1659       2.9842       2.5869
    1744       3.1836       2.4967       2.7127       2.3697
    1745       3.3074       2.1712       3.0975       2.8385
    1746       3.1382       2.2956       2.2886       2.6200
    1747       3.2958       2.1884       2.2493       2.5895
    1748       3.3406       2.4848       2.3366       2.4639
    1749       3.4624       2.5757       2.6460       2.7261
    1750       3.2399       2.3701       2.6020       2.5748
    1751       3.2053       2.4932       2.8736       2.7104
    1752       2.6455       2.7849       3.6718       2.6289
    1753       2.9393       2.4106       2.7134       2.7956
    1754       2.9116       2.4192       2.2042       2.4828
    1755       3.2456       2.2984       2.3896       2.5650
    1756       2.8636       2.6875       2.7780       2.6016
    1757       2.7305       2.3386       2.2276       2.3025
    1758       2.9603       2.5346       2.7886       2.6746
    1759       2.7407       2.8752       3.2886       2.7470
    1760       3.4578       2.3168       2.7819       2.8710
    1761       2.9303       2.2822       2.4850       2.8710
    1762       2.7568       2.4080       2.5390       2.7696
    1763       3.1005       2.2097       2.9564       2.9657
    1764       3.5160       2.6610       3.2390       2.9127
    1765       3.4856       2.7613       2.9130       2.4881
    1766       3.4909       2.4872       2.9244       2.4350
    1767       3.3200       2.3479       2.7766       2.3972
    1768       3.1831       2.5245       3.0139       2.6022
    1769       2.4352       2.7292       3.3805       2.6864
    1770       3.0207       2.2360       2.0412       2.5782
    1771       3.6100       2.5981       3.0312       2.9460
    1772       3.0788       2.0795       2.8136       2.5359
    1773       2.9125       2.3418       2.7966       2.2904
    1774       3.1954       2.2105       3.3945       2.6774
    1775       3.2902       2.4356       2.6121       2.6970
    1776       3.0917       2.2913       2.9203       2.8174
    1777       2.9212       2.3652       2.0350       2.6033
    1778       2.7485       2.3908       2.3363       2.5134
    1779       3.3974       2.3083       2.1469       2.6751
    1780       3.2168       2.2907       3.8678       3.3338
    1781       3.1097       2.3125       2.2058       2.5640
    1782       3.1748       2.3488       2.7612       2.5725
    1783       3.0667       2.3495       2.0781       2.3635
    1784       3.0818       2.5435       2.6636       2.3237
    1785       3.2522       2.2388       1.9434       2.3873
    1786       3.3326       2.2653       2.2233       2.4636
    1787       3.2185       2.4915       2.0875       2.7649
    1788       2.9668       2.3232       1.9023       2.5534
    1789       3.3906       2.4303       2.3485       2.5519
    1790       3.0554       2.1981       2.5137       2.4073
    1791       3.1817       2.4547       2.5319       2.6452
    1792       3.1953       2.3516       2.1229       2.5319
    1793       3.1429       2.2395       2.2834       2.6095
    1794       3.1942       2.2939       2.4849       2.6133
    1795       3.3232       2.3554       2.3695       2.2904
    1796       3.4131       2.5239       2.1172       2.5255
    1797       3.0464       2.4557       2.4675       2.5592
    1798       3.4095       2.2931       2.8911       2.3775
    1799       3.2786       2.3701       2.8156       2.5648
    1800       3.2047       2.0883       2.7898       2.6780
    1801       3.3300       2.3900       2.4023       2.5947
    1802       3.2542       2.1138       3.1423       2.9161
    1803       2.8552       2.2395       2.6916       2.7995
    1804       3.1415       2.0008       2.5555       2.5874
    1805       3.2267       2.3896       2.3759       2.4793
    1806       3.2051       2.4254       2.2139       2.5288
    1807       3.4456       2.3237       2.1069       2.2749
    1808       3.3379       2.1661       2.3591       2.6221
    1809       3.3516       2.5874       3.1851       2.8560
    1810       3.2502       2.4058       3.8001       3.2778
    1811       3.0119       2.2836       2.4357       2.5309
    1812       2.8352       2.4560       2.9238       2.6303
    1813       3.2041       2.3714       2.4623       2.4535
    1814       3.0868       2.3544       2.3076       2.2605
    1815       3.2572       2.5128       3.0678       2.8479
    1816       3.2014       2.4973       2.9755       3.0090
    1817       3.1758       2.4167       3.4196       3.0423
    1818       3.3135       2.4429       2.8884       2.7533
    1819       2.6551       2.4682       2.2581       2.4888
    1820       2.9644       2.4455       3.0717       3.1266
    1821       3.1336       2.2694       2.7463       2.7195
    1822       3.4001       2.1509       4.0055       3.0718
    1823       3.0005       2.2062       3.2595       3.0778
    1824       2.9280       2.4995       2.6704       2.8646
    1825       3.1959       2.5021       3.4450       2.9859
    1826       2.9396       2.3602       3.7839       2.8956
    1827       3.3057       2.5518       2.1124       2.5926
    1828       3.0490       2.4625       2.9587       3.2353
    1829       3.1881       2.4126       2.9906       2.9261
    1830       3.0975       2.3170       3.4290       2.7854
    1831       2.7214       2.6467       3.5441       3.4064
    1832       2.9548       2.3197       3.5458       2.9884
    1833       2.7724       2.7811       2.4001       2.6333
    1834       3.1583       2.5632       2.9226       2.4736
    1835       3.0617       2.4210       2.1556       2.4496
    1836       3.2265       2.3282       2.0093       2.6568
    1837       3.1328       2.2820       2.2875       2.6802
    1838       3.1733       2.2438       2.3146       2.5730
    1839       3.2316       2.5073       2.6477       2.5139
    1840       3.5795       2.4933       3.8813       2.7230
    1841       3.0394       2.3359       2.5856       2.5697
    1842       3.3784       2.3055       2.8407       2.7247
    1843       3.3825       2.2963       2.4654       2.4577
    1844       3.1933       2.2815       2.8022       2.9138
    1845       3.0477       2.3136       2.3073       2.6943
    1846       3.1647       2.5617       2.0353       2.4436
    1847       2.7855       2.3836       2.4020       2.9584
    1848       3.3158       2.3599       2.0651       2.7100
    1849       3.3965       2.4904       3.1432       2.5642
    1850       3.5726       2.5048       2.3440       2.8272
    1851       2.6965       2.4092       2.7965       2.9866
    1852       3.0810       2.4725       2.4326       2.6671
    1853       3.2165       2.4710       1.8063       2.6996
    1854       3.0220       2.6035       2.4897       2.5159
    1855       3.4962       2.4714       2.5080       2.8531
    1856       2.9537       2.4246       3.0879       2.9547
    1857       3.1901       2.2151       2.8886       2.8673
    1858       3.2347       2.3195       3.5779       3.0258
    1859       2.9904       2.4079       3.1071       2.4764
    1860       3.2135       2.6285       2.3535       2.6930
    1861       3.4911       2.3789       2.7864       2.5712
    1862       2.9727       2.4851       2.7598       2.6664
    1863       2.4535       2.8852       2.4767       2.6703
    1864       3.0426       2.5079       2.5096       2.5415
    1865       3.2845       2.4327       2.1009       2.6146
    1866       3.1121       2.4540       2.4274       2.5502
    1867       3.1380       2.1901       2.3443       2.7076
    1868       2.9860       2.2844       2.3996       2.8710
    1869       3.0082       2.3468       2.3996       2.4994
    1870       3.4160       2.6262       2.0576       2.5018
    1871       3.0834       2.4219       2.1542       2.6072
    1872       3.1897       2.4766       2.2722       2.6540
    1873       2.9629       2.3590       2.0959       2.9356
    1874       3.0264       2.1627       2.1351       2.7798
    1875       2.7341       2.4068       2.0784       2.1974
    1876       3.2186       2.3523       2.2558       2.1148
    1877       3.2376       2.4252       2.2073       2.5006
    1878       3.1395       2.5718       2.6652       2.4028
    1879       3.1456       2.3278       2.3059       2.4350
    1880       3.4794       2.4156       2.5354       2.6657
    1881       3.2403       2.4835       2.6054       2.6055
    1882       2.3530       2.8322       2.7252       2.8204
    1883       2.9504       2.2719       2.1129       2.5261
    1884       3.1386       2.2522       2.8565       2.3783
    1885       3.2828       2.3768       2.1823       2.4551
    1886       3.4087       2.5848       2.2615       2.7245
    1887       2.9343       2.1464       2.5942       2.3449
    1888       3.3994       2.1279       2.8511       2.7551
    1889       3.1248       2.3155       1.8614       2.5536
    1890       3.0669       2.3314       2.1657       2.6577
    1891       3.1320       2.4268       2.3809       2.6824
    1892       3.2668       2.3143       3.0027       2.7500
    1893       3.0980       2.4998       3.3942       3.4253
    1894       3.4293       2.5331       3.2250       2.8668
    1895       3.1542       2.4961       1.9401       2.5314
