#Len Center	  GalNAc 1	  GalNAc 2	  GalNAc 3	  GalNAc 4	All GalNAc
   1.025000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.075000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.125000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.175000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.225000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.275000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.325000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.375000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.425000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.475000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.525000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.575000  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
   1.625000  0.000000	  0.000003	  0.000006	  0.000009	  0.000000
   1.675000  0.000019	  0.000013	  0.000057	  0.000028	  0.000000
   1.725000  0.000123	  0.000113	  0.000337	  0.000233	  0.000000
   1.775000  0.000362	  0.000290	  0.001164	  0.000777	  0.000000
   1.825000  0.001064	  0.000950	  0.002987	  0.001995	  0.000000
   1.875000  0.002090	  0.002090	  0.005961	  0.003736	  0.000000
   1.925000  0.003515	  0.003465	  0.009605	  0.006156	  0.000000
   1.975000  0.005338	  0.005111	  0.013155	  0.009209	  0.000000
   2.025000  0.006732	  0.006745	  0.017215	  0.011491	  0.000000
   2.075000  0.008441	  0.008655	  0.020035	  0.013231	  0.000000
   2.125000  0.010049	  0.010307	  0.022909	  0.015645	  0.000000
   2.175000  0.011107	  0.011966	  0.024851	  0.017118	  0.000000
   2.225000  0.012290	  0.012875	  0.025842	  0.018251	  0.000000
   2.275000  0.013030	  0.014465	  0.026289	  0.018584	  0.000000
   2.325000  0.013879	  0.015327	  0.026638	  0.018865	  0.000000
   2.375000  0.013967	  0.016300	  0.025927	  0.019308	  0.000000
   2.425000  0.014792	  0.016916	  0.025634	  0.019739	  0.000000
   2.475000  0.014820	  0.018034	  0.025118	  0.018987	  0.000000
   2.525000  0.015661	  0.018710	  0.025530	  0.019702	  0.000000
   2.575000  0.016306	  0.019522	  0.024879	  0.019837	  0.000005
   2.625000  0.016809	  0.019667	  0.024807	  0.020334	  0.000079
   2.675000  0.016838	  0.020762	  0.023910	  0.020001	  0.000415
   2.725000  0.017521	  0.021524	  0.023689	  0.020325	  0.001562
   2.775000  0.017489	  0.021870	  0.023419	  0.020759	  0.004158
   2.825000  0.018471	  0.022572	  0.022616	  0.021260	  0.008273
   2.875000  0.018449	  0.022660	  0.023170	  0.021631	  0.013593
   2.925000  0.018915	  0.023645	  0.022947	  0.021121	  0.019325
   2.975000  0.019249	  0.023696	  0.021747	  0.021149	  0.025194
   3.025000  0.019925	  0.024794	  0.021779	  0.021766	  0.029994
   3.075000  0.019651	  0.024504	  0.021587	  0.021329	  0.034620
   3.125000  0.020627	  0.024810	  0.021071	  0.021905	  0.037672
   3.175000  0.020832	  0.024895	  0.020750	  0.021669	  0.040318
   3.225000  0.020979	  0.024482	  0.020092	  0.022094	  0.041535
   3.275000  0.020929	  0.025360	  0.019403	  0.022122	  0.043293
   3.325000  0.020703	  0.024722	  0.018710	  0.021880	  0.044034
   3.375000  0.021870	  0.023950	  0.018506	  0.021477	  0.043745
   3.425000  0.020297	  0.024168	  0.017212	  0.021769	  0.043299
   3.475000  0.020570	  0.023664	  0.016312	  0.021555	  0.042892
   3.525000  0.020356	  0.023456	  0.015846	  0.020611	  0.041096
   3.575000  0.020407	  0.021961	  0.014786	  0.020243	  0.039540
   3.625000  0.019535	  0.021231	  0.014175	  0.020281	  0.037141
   3.675000  0.018518	  0.020479	  0.012938	  0.019217	  0.034968
   3.725000  0.019123	  0.019500	  0.012054	  0.019346	  0.032070
   3.775000  0.017675	  0.018591	  0.010952	  0.017747	  0.029609
   3.825000  0.017219	  0.016869	  0.010150	  0.017304	  0.026369
   3.875000  0.016255	  0.015799	  0.009278	  0.016300	  0.023844
   3.925000  0.015491	  0.014792	  0.008520	  0.015343	  0.021290
   3.975000  0.014131	  0.013646	  0.007966	  0.014172	  0.018607
