#Len Center	Ang Center	  GalNAc 1	  GalNAc 2	  GalNAc 3	  GalNAc 4	All GalNAc
  1.025000	  0.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  1.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  2.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  3.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  4.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  5.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  6.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  7.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  8.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	  9.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 10.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 11.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 12.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 13.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 14.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 15.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 16.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 17.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 18.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 19.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 20.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 21.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 22.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 23.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 24.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 25.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 26.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 27.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 28.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 29.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 30.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 31.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 32.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 33.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 34.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 35.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 36.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 37.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 38.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 39.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 40.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 41.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 42.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 43.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 44.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 45.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 46.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 47.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 48.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 49.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 50.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 51.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 52.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
  1.025000	 53.500000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
