#Len Center	  GalNAc 1	  GalNAc 2	  GalNAc 3	  GalNAc 4	All GalNAc
   4.925000  0.000000	  0.000000	  0.000000	  0.000000	  0.005108
   4.975000  0.000000	  0.000000	  0.000000	  0.000000	  0.004726
   5.025000  0.000000	  0.000000	  0.000000	  0.000000	  0.004457
   5.075000  0.000000	  0.000000	  0.000000	  0.000000	  0.004017
   5.125000  0.000000	  0.000000	  0.000000	  0.000000	  0.003578
   5.175000  0.000000	  0.000000	  0.000000	  0.000000	  0.003021
   5.225000  0.000000	  0.000000	  0.000000	  0.000000	  0.002677
   5.275000  0.000000	  0.000000	  0.000000	  0.000000	  0.002427
   5.325000  0.000000	  0.000000	  0.000000	  0.000000	  0.002094
   5.375000  0.000000	  0.000000	  0.000000	  0.000000	  0.001862
   5.425000  0.000000	  0.000000	  0.000000	  0.000000	  0.001580
   5.475000  0.000000	  0.000000	  0.000000	  0.000000	  0.001471
   5.525000  0.000000	  0.000000	  0.000000	  0.000000	  0.001283
   5.575000  0.000000	  0.000000	  0.000000	  0.000000	  0.001205
   5.625000  0.000000	  0.000000	  0.000000	  0.000000	  0.000999
   5.675000  0.000000	  0.000000	  0.000000	  0.000000	  0.001009
   5.725000  0.000000	  0.000000	  0.000000	  0.000000	  0.000845
   5.775000  0.000000	  0.000000	  0.000000	  0.000000	  0.000793
   5.825000  0.000000	  0.000000	  0.000000	  0.000000	  0.000717
   5.875000  0.000000	  0.000000	  0.000000	  0.000000	  0.000663
   5.925000  0.000000	  0.000000	  0.000000	  0.000000	  0.000681
   5.975000  0.000000	  0.000000	  0.000000	  0.000000	  0.000725
   6.025000  0.000000	  0.000000	  0.000000	  0.000000	  0.000800
   6.075000  0.000000	  0.000000	  0.000000	  0.000000	  0.000901
   6.125000  0.000000	  0.000000	  0.000000	  0.000000	  0.001126
   6.175000  0.000000	  0.000000	  0.000000	  0.000000	  0.001234
   6.225000  0.000000	  0.000000	  0.000000	  0.000000	  0.001547
   6.275000  0.000000	  0.000000	  0.000000	  0.000000	  0.001946
   6.325000  0.000000	  0.000000	  0.000000	  0.000000	  0.002292
   6.375000  0.000000	  0.000000	  0.000000	  0.000000	  0.002643
   6.425000  0.000000	  0.000000	  0.000000	  0.000000	  0.002940
   6.475000  0.000000	  0.000000	  0.000000	  0.000000	  0.003144
   6.525000  0.000000	  0.000000	  0.000000	  0.000000	  0.003296
   6.575000  0.000000	  0.000000	  0.000000	  0.000000	  0.003464
   6.625000  0.000000	  0.000000	  0.000000	  0.000000	  0.003344
   6.675000  0.000000	  0.000000	  0.000000	  0.000000	  0.003140
   6.725000  0.000000	  0.000000	  0.000000	  0.000000	  0.002747
   6.775000  0.000000	  0.000000	  0.000000	  0.000000	  0.002359
   6.825000  0.000000	  0.000000	  0.000000	  0.000000	  0.002078
   6.875000  0.000000	  0.000000	  0.000000	  0.000000	  0.001708
   6.925000  0.000000	  0.000000	  0.000000	  0.000000	  0.001308
   6.975000  0.000000	  0.000000	  0.000000	  0.000000	  0.000977
   7.025000  0.000000	  0.000000	  0.000000	  0.000000	  0.000694
   7.075000  0.000000	  0.000000	  0.000000	  0.000000	  0.000417
   7.125000  0.000000	  0.000000	  0.000000	  0.000000	  0.000326
   7.175000  0.000000	  0.000000	  0.000000	  0.000000	  0.000188
   7.225000  0.000000	  0.000000	  0.000000	  0.000000	  0.000116
   7.275000  0.000000	  0.000000	  0.000000	  0.000000	  0.000072
   7.325000  0.000000	  0.000000	  0.000000	  0.000000	  0.000037
   7.375000  0.000000	  0.000000	  0.000000	  0.000000	  0.000026
